,0
0,0323
1,0617
2,0704
3,0713
4,10
5,102
6,11
7,12
8,121
9,1210
10,136
11,138
12,14
13,141
14,15
15,16
16,160
17,1637
18,17
19,179
20,1794
21,1795
22,18
23,1800
24,1805
25,1811
26,1814
27,1820
28,1855
29,1881
30,1886
31,18th
32,19
33,1913
34,1928
35,1929
36,1940
37,1974
38,1980
39,1981
40,1982
41,1987
42,1990
43,1992
44,1996
45,19th
46,1st
47,20
48,2003
49,2010
50,21
51,22
52,23
53,24
54,25
55,26
56,27
57,270
58,28
59,29
60,30
61,31
62,34
63,36
64,37
65,38
66,40
67,41
68,425
69,44
70,46
71,50
72,5006
73,55
74,60
75,65
76,74
77,79
78,91
79,99
80,abstract
81,accompany
82,accord
83,acquire
84,ad
85,add
86,additional
87,age
88,al
89,albert
90,album
91,altar
92,amid
93,amp
94,ancient
95,anderson
96,angel
97,animal
98,annotation
99,apart
100,apparently
101,appear
102,apply
103,approach
104,arch
105,architectural
106,architecture
107,area
108,arm
109,armed
110,armour
111,arrow
112,art
113,artist
114,arts
115,asahi
116,assemblage
117,associate
118,attach
119,attack
120,attendant
121,attribute
122,august
123,avalokite
124,away
125,background
126,bamboo
127,band
128,bank
129,banner
130,bare
131,bark
132,base
133,basket
134,battle
135,bear
136,beard
137,bearded
138,bed
139,begin
140,bell
141,belong
142,belt
143,beneath
144,berchem
145,bijutsu
146,bind
147,bird
148,birds
149,black
150,blank
151,blind
152,blossom
153,blue
154,bm
155,board
156,boat
157,bodhisattva
158,body
159,bodycolour
160,book
161,boot
162,border
163,bow
164,bowl
165,box
166,boy
167,branch
168,breast
169,bridge
170,bright
171,brilliant
172,bring
173,british
174,broad
175,brocade
176,bronze
177,brown
178,brush
179,buddha
180,buddhist
181,buff
182,build
183,building
184,bull
185,bust
186,butterfly
187,calligraphy
188,canal
189,canopy
190,canvas
191,cap
192,caption
193,card
194,care
195,carry
196,cart
197,cartouche
198,case
199,caste
200,castle
201,cat
202,catalogue
203,caterpillar
204,cattle
205,cave
206,ceiling
207,central
208,centre
209,century
210,ceremonial
211,certain
212,chair
213,chalk
214,change
215,chapter
216,character
217,charcoal
218,cherry
219,chest
220,child
221,chin
222,chinese
223,christ
224,chrysalis
225,church
226,circle
227,circular
228,city
229,clark
230,classical
231,clearly
232,cliff
233,cloak
234,close
235,cloth
236,cloud
237,coat
238,collar
239,collection
240,colour
241,coloured
242,colourful
243,column
244,come
245,commission
246,common
247,company
248,complete
249,compose
250,composition
251,confirm
252,conservation
253,consist
254,consistently
255,contain
256,content
257,continue
258,copy
259,corner
260,costume
261,cottage
262,country
263,couple
264,course
265,court
266,cover
267,cow
268,crane
269,create
270,cross
271,crown
272,cup
273,cut
274,cycle
275,dallapiccola
276,dance
277,dark
278,date
279,day
280,death
281,decorate
282,decoration
283,decorative
284,deer
285,deity
286,demon
287,depict
288,depiction
289,dept
290,derive
291,design
292,dhoti
293,di
294,different
295,direct
296,display
297,dissegni
298,distance
299,district
300,doc
301,documentary
302,dog
303,door
304,doorway
305,dot
306,double
307,dragon
308,drape
309,drapery
310,draw
311,drawing
312,dress
313,drum
314,duck
315,dynasty
316,eagle
317,ear
318,earlier
319,early
320,east
321,ed
322,edge
323,edo
324,eighteenth
325,elegant
326,element
327,elephant
328,emblem
329,emerge
330,emperor
331,end
332,english
333,engrave
334,engraving
335,entitle
336,entrance
337,eros
338,especially
339,establish
340,et
341,etching
342,eth
343,european
344,evidence
345,example
346,execute
347,extend
348,eye
349,face
350,fact
351,fall
352,family
353,famous
354,fan
355,far
356,father
357,feather
358,feature
359,female
360,fence
361,festival
362,field
363,fig
364,figure
365,fine
366,fish
367,flame
368,flank
369,floor
370,floral
371,flow
372,flower
373,fly
374,fold
375,folder
376,foliage
377,folio
378,follow
379,foot
380,foreground
381,forehead
382,forest
383,form
384,fourth
385,fragment
386,frame
387,frequently
388,fruit
389,fur
390,gallery
391,garden
392,gate
393,gem
394,general
395,generally
396,giacomo
397,girl
398,glass
399,goat
400,god
401,goddess
402,gold
403,golden
404,good
405,gouache
406,graphite
407,grass
408,great
409,green
410,grey
411,ground
412,group
413,hair
414,half
415,hall
416,hand
417,handle
418,handscroll
419,hang
420,hanging
421,hat
422,head
423,headdress
424,heavy
425,heighten
426,helmet
427,help
428,high
429,highlight
430,hill
431,hindu
432,history
433,hizo
434,hold
435,holy
436,home
437,horizon
438,horizontal
439,horn
440,horse
441,horseback
442,house
